"hgnc_symbol","ensembl_gene_id"
"PRICKLE3","ENSG00000012211"
"LTF","ENSG00000012223"
"NR1H4","ENSG00000012504"
"ALOX5","ENSG00000012779"
"CALCOCO1","ENSG00000012822"
"PSMC4","ENSG00000013275"
"SLC7A14","ENSG00000013293"
"CLDN11","ENSG00000013297"
"MVP","ENSG00000013364"
"PGM3","ENSG00000013375"
"RWDD2A","ENSG00000013392"
"RNF14","ENSG00000013561"
"DDX11","ENSG00000013573"
"MAMLD1","ENSG00000013619"
"ZC3H3","ENSG00000014164"
"MTMR11","ENSG00000014914"
"CCDC88C","ENSG00000015133"
"WAS","ENSG00000015285"
"NPC1L1","ENSG00000015520"
"STMN4","ENSG00000015592"
"CLCA4","ENSG00000016602"
"SRCIN1","ENSG00000017373"
"MAGIX","ENSG00000017621"
"CNTN1","ENSG00000018236"
"CXorf56","ENSG00000018610"
"ATP1A2","ENSG00000018625"
"PHLDB1","ENSG00000019144"
"MARCO","ENSG00000019169"
"PRDM11","ENSG00000019485"
"SYT13","ENSG00000019505"
"SNAI2","ENSG00000019549"
"HGF","ENSG00000019991"
"ZRANB1","ENSG00000019995"
"NCDN","ENSG00000020129"
"GPR124","ENSG00000020181"
"ZFP64","ENSG00000020256"
"RUNX3","ENSG00000020633"
"SERPINB1","ENSG00000021355"
"NRXN3","ENSG00000021645"
"OSBPL5","ENSG00000021762"
"AQR","ENSG00000021776"
"CPS1","ENSG00000021826"
"RTFDC1","ENSG00000022277"
"GABRA1","ENSG00000022355"
"NLRP2","ENSG00000022556"
"SLC45A4","ENSG00000022567"
"ZNF839","ENSG00000022976"
"RNH1","ENSG00000023191"
"NDUFS1","ENSG00000023228"
"AKAP11","ENSG00000023516"
"SNAPC1","ENSG00000023608"
"UBR2","ENSG00000024048"
"HSD17B6","ENSG00000025423"
"TYMP","ENSG00000025708"
"NCAPH2","ENSG00000025770"
"SEC63","ENSG00000025796"
"CD44","ENSG00000026508"
"INSRR","ENSG00000027644"
"VEZT","ENSG00000028203"
"POU2F2","ENSG00000028277"
"BCLAF1","ENSG00000029363"
"ANK1","ENSG00000029534"
"IBSP","ENSG00000029559"
"ARID4A","ENSG00000032219"
"IFT88","ENSG00000032742"
"ALG1","ENSG00000033011"
"ABCF2","ENSG00000033050"
"LRRC7","ENSG00000033122"
"UBA6","ENSG00000033178"
"PIAS1","ENSG00000033800"
"APBA2","ENSG00000034053"
"VCL","ENSG00000035403"
"TIMP2","ENSG00000035862"
"RFC1","ENSG00000035928"
"TBC1D23","ENSG00000036054"
"CUL3","ENSG00000036257"
"MYOM2","ENSG00000036448"
"CASR","ENSG00000036828"
"FLT4","ENSG00000037280"
"MRI1","ENSG00000037757"
"METTL1","ENSG00000037897"
"BOD1L1","ENSG00000038219"
"MAT2B","ENSG00000038274"
"TRIO","ENSG00000038382"
"VCAN","ENSG00000038427"
"DNAH5","ENSG00000039139"
"CDH10","ENSG00000040731"
"MYO16","ENSG00000041515"
"TNC","ENSG00000041982"
"FAM65C","ENSG00000042062"
"C2orf83","ENSG00000042304"
"CAPG","ENSG00000042493"
"USH2A","ENSG00000042781"
"TG","ENSG00000042832"
"JADE2","ENSG00000043143"
"LCP2","ENSG00000043462"
"CTNNA1","ENSG00000044115"
"PHKA2","ENSG00000044446"
"DSG2","ENSG00000046604"
"GPM6B","ENSG00000046653"
"MAGEC2","ENSG00000046774"
"PREX2","ENSG00000046889"
"WDR37","ENSG00000047056"
"CTPS2","ENSG00000047230"
"ARAP2","ENSG00000047365"
"TPR","ENSG00000047410"
"KIAA0556","ENSG00000047578"
"ANO2","ENSG00000047617"
"WWC3","ENSG00000047644"
"FAM184B","ENSG00000047662"
"GOPC","ENSG00000047932"
"ROS1","ENSG00000047936"
"HDAC9","ENSG00000048052"
"CC2D2A","ENSG00000048342"
"ZNF800","ENSG00000048405"
"SNX29","ENSG00000048471"
"LMO3","ENSG00000048540"
"VPS13D","ENSG00000048707"
"CELF2","ENSG00000048740"
"ERCC8","ENSG00000049167"
"LTBP1","ENSG00000049323"
"ARID1B","ENSG00000049618"
"PPP1R3F","ENSG00000049769"
"PTCD2","ENSG00000049883"
"JKAMP","ENSG00000050130"
"SLC4A8","ENSG00000050438"
"LAMC3","ENSG00000050555"
"COL23A1","ENSG00000050767"
"BCAR1","ENSG00000050820"
"FAM160A2","ENSG00000051009"
"HOMER3","ENSG00000051128"
"POLQ","ENSG00000051341"
"PIK3CB","ENSG00000051382"
"CYBA","ENSG00000051523"
"TTC17","ENSG00000052841"
"FSTL4","ENSG00000053108"
"MRTO4","ENSG00000053372"
"LAMA3","ENSG00000053747"
"THRAP3","ENSG00000054118"
"PHPT1","ENSG00000054148"
"LY75","ENSG00000054219"
"OPN3","ENSG00000054277"
"HHAT","ENSG00000054392"
"KIF1B","ENSG00000054523"
"SYNE2","ENSG00000054654"
"PLEKHH1","ENSG00000054690"
"ATP9A","ENSG00000054793"
"SPO11","ENSG00000054796"
"SZRD1","ENSG00000055070"
"CYFIP2","ENSG00000055163"
"USP36","ENSG00000055483"
"KMT2C","ENSG00000055609"
"CCDC85A","ENSG00000055813"
"ITIH4","ENSG00000055955"
"PHF21B","ENSG00000056487"
"TRAF1","ENSG00000056558"
"RC3H2","ENSG00000056586"
"DCBLD2","ENSG00000057019"
"SERPINB3","ENSG00000057149"
"PKP2","ENSG00000057294"
"MSH4","ENSG00000057468"
"PRDM1","ENSG00000057657"
"ATG5","ENSG00000057663"
"USP13","ENSG00000058056"
"ATP11B","ENSG00000058063"
"PPP1R12A","ENSG00000058272"
"CAMK2B","ENSG00000058404"
"CROCC","ENSG00000058453"
"POLR3E","ENSG00000058600"
"ATP2B4","ENSG00000058668"
"ZC3H11A","ENSG00000058673"
"RIOK2","ENSG00000058729"
"YIPF1","ENSG00000058799"
"UNKL","ENSG00000059145"
"PARP12","ENSG00000059378"
"TARBP1","ENSG00000059588"
"SLC2A3","ENSG00000059804"
"OGFR","ENSG00000060491"
"GNA15","ENSG00000060558"
"CREB3L3","ENSG00000060566"
"RIMBP2","ENSG00000060709"
"COL11A1","ENSG00000060718"
"QSER1","ENSG00000060749"
"BCAT1","ENSG00000060982"
"HDAC7","ENSG00000061273"
"LZTS1","ENSG00000061337"
"WNT8A","ENSG00000061492"
"NCKAP1","ENSG00000061676"
"SFSWAP","ENSG00000061936"
"TNK2","ENSG00000061938"
"MON2","ENSG00000061987"
"ARSF","ENSG00000062096"
"GPBP1","ENSG00000062194"
"ZNF112","ENSG00000062370"
"LTK","ENSG00000062524"
"POLD1","ENSG00000062822"
"MTMR1","ENSG00000063601"
"ADCK1","ENSG00000063761"
"CASP8","ENSG00000064012"
"TSPAN32","ENSG00000064201"
"DMRT3","ENSG00000064218"
"ATP2C2","ENSG00000064270"
"NGFR","ENSG00000064300"
"CDON","ENSG00000064309"
"TAF2","ENSG00000064313"
"TNPO3","ENSG00000064419"
"MEF2BNB-MEF2B","ENSG00000064489"
"LPAR2","ENSG00000064547"
"CTSA","ENSG00000064601"
"SUGP2","ENSG00000064607"
"EYA2","ENSG00000064655"
"CNN2","ENSG00000064666"
"ABCA7","ENSG00000064687"
"SNCAIP","ENSG00000064692"
"BCAS1","ENSG00000064787"
"SBNO2","ENSG00000064932"
"PMS1","ENSG00000064933"
"AP3D1","ENSG00000065000"
"PKN2","ENSG00000065243"
"MCM10","ENSG00000065328"
"ROPN1","ENSG00000065371"
"ANKRD44","ENSG00000065413"
"KARS","ENSG00000065427"
"SPEN","ENSG00000065526"
"MYLK","ENSG00000065534"
"ZC3H15","ENSG00000065548"
"MAP2K4","ENSG00000065559"
"COL17A1","ENSG00000065618"
"TLE2","ENSG00000065717"
"ME1","ENSG00000065833"
"CDK13","ENSG00000065883"
"MTHFD2","ENSG00000065911"
"PPP2R5A","ENSG00000066027"
"CTNNA2","ENSG00000066032"
"ELAVL1","ENSG00000066044"
"TIE1","ENSG00000066056"
"DIP2B","ENSG00000066084"
"SLC9A3","ENSG00000066230"
"NGEF","ENSG00000066248"
"ASPM","ENSG00000066279"
"MPPED2","ENSG00000066382"
"CLDN18","ENSG00000066405"
"GOLGA5","ENSG00000066455"
"THUMPD1","ENSG00000066654"
"KIF26A","ENSG00000066735"
"ARFGEF1","ENSG00000066777"
"ACSM2B","ENSG00000066813"
"ZFAT","ENSG00000066827"
"MTFR1","ENSG00000066855"
"MYO9A","ENSG00000066933"
"IDI1","ENSG00000067064"
"SP100","ENSG00000067066"
"NEO1","ENSG00000067141"
"EVI5","ENSG00000067208"
"STOML1","ENSG00000067221"
"PKM","ENSG00000067225"
"DHX29","ENSG00000067248"
"METTL22","ENSG00000067365"
"TP53BP1","ENSG00000067369"
"RHOA","ENSG00000067560"
"DHX8","ENSG00000067596"
"PRKCZ","ENSG00000067606"
"SYT1","ENSG00000067715"
"NAV3","ENSG00000067798"
"IDH3G","ENSG00000067829"
"PDZD4","ENSG00000067840"
"ATP2B3","ENSG00000067842"
"GPKOW","ENSG00000068394"
"GRIPAP1","ENSG00000068400"
"ATP11A","ENSG00000068650"
"TTC7A","ENSG00000068724"
"CYFIP1","ENSG00000068793"
"KIF2A","ENSG00000068796"
"PSME4","ENSG00000068878"
"PITX1","ENSG00000069011"
"TRPC7","ENSG00000069018"
"MAST4","ENSG00000069020"
"GPR116","ENSG00000069122"
"SDK2","ENSG00000069188"
"NUP133","ENSG00000069248"
"KCNAB2","ENSG00000069424"
"ABCC9","ENSG00000069431"
"MAOB","ENSG00000069535"
"PIGB","ENSG00000069943"
"MAPK6","ENSG00000069956"
"RAB27A","ENSG00000069974"
"UFD1L","ENSG00000070010"
"IKBKAP","ENSG00000070061"
"NUCB2","ENSG00000070081"
"PTPN3","ENSG00000070159"
"SPTB","ENSG00000070182"
"TMEM260","ENSG00000070269"
"SMG6","ENSG00000070366"
"EXOC5","ENSG00000070367"
"FSTL3","ENSG00000070404"
"DGCR2","ENSG00000070413"
"ZXDC","ENSG00000070476"
"WIPI1","ENSG00000070540"
"FRMPD1","ENSG00000070601"
"NDST1","ENSG00000070614"
"CHAT","ENSG00000070748"
"PABPC1","ENSG00000070756"
"EIF2B3","ENSG00000070785"
"EPHA8","ENSG00000070886"
"SLC12A3","ENSG00000070915"
"RAD18","ENSG00000070950"
"ATP2B1","ENSG00000070961"
"TRPM5","ENSG00000070985"
"SNX13","ENSG00000071189"
"ARHGAP10","ENSG00000071205"
"RPS6KA2","ENSG00000071242"
"VASH1","ENSG00000071246"
"SEL1L","ENSG00000071537"
"TRIB2","ENSG00000071575"
"DAZAP1","ENSG00000071626"
"MYO3B","ENSG00000071909"
"SLC6A15","ENSG00000072041"
"ACTN1","ENSG00000072110"
"ZFYVE26","ENSG00000072121"
"PTPN18","ENSG00000072135"
"LIMS2","ENSG00000072163"
"SPEG","ENSG00000072195"
"ALDH3A2","ENSG00000072210"
"TRPC5","ENSG00000072315"
"AFF4","ENSG00000072364"
"RHOBTB1","ENSG00000072422"
"MARK2","ENSG00000072518"
"HMMR","ENSG00000072571"
"CHFR","ENSG00000072609"
"P4HA2","ENSG00000072682"
"NFATC3","ENSG00000072736"
"STK10","ENSG00000072786"
"FBXW11","ENSG00000072803"
"CRMP1","ENSG00000072832"
"EVC","ENSG00000072840"
"DERL2","ENSG00000072849"
"NDE1","ENSG00000072864"
"MRVI1","ENSG00000072952"
"AP1M1","ENSG00000072958"
"CYP2W1","ENSG00000073067"
"MOV10L1","ENSG00000073146"
"","ENSG00000073169"
"TP63","ENSG00000073282"
"LLGL2","ENSG00000073350"
"CLCN4","ENSG00000073464"
"NLE1","ENSG00000073536"
"KDM5A","ENSG00000073614"
"ADAM11","ENSG00000073670"
"PPP2R3A","ENSG00000073711"
"DHRS9","ENSG00000073737"
"PTGS2","ENSG00000073756"
"FRY","ENSG00000073910"
"PICALM","ENSG00000073921"
"GLI2","ENSG00000074047"
"CLASP1","ENSG00000074054"
"MRPS34","ENSG00000074071"
"NOTCH3","ENSG00000074181"
"CDHR2","ENSG00000074276"
"SCARF1","ENSG00000074660"
"ZZEF1","ENSG00000074755"
"ENO1","ENSG00000074800"
"SLC12A1","ENSG00000074803"
"ANO8","ENSG00000074855"
"TUBE1","ENSG00000074935"
"ARHGEF10L","ENSG00000074964"
"WSCD2","ENSG00000075035"
"KCNQ2","ENSG00000075043"
"TACR2","ENSG00000075073"
"GTSE1","ENSG00000075218"
"SEMA3C","ENSG00000075223"
"GRAMD4","ENSG00000075240"
"TIMM21","ENSG00000075336"
"ADD2","ENSG00000075340"
"FGF4","ENSG00000075388"
"VPS9D1","ENSG00000075399"
"FNDC3B","ENSG00000075420"
"FOSL2","ENSG00000075426"
"FRYL","ENSG00000075539"
"ACTB","ENSG00000075624"
"ATP12A","ENSG00000075673"
"ARHGAP15","ENSG00000075884"
"PAX2","ENSG00000075891"
"RBMS2","ENSG00000076067"
"BAZ2A","ENSG00000076108"
"RGS11","ENSG00000076344"
"PLXNA2","ENSG00000076356"
"SPAG5","ENSG00000076382"
"TPD52","ENSG00000076554"
"ACACB","ENSG00000076555"
"CAMSAP3","ENSG00000076826"
"RAP1GAP","ENSG00000076864"
"XAB2","ENSG00000076924"
"MAP2K7","ENSG00000076984"
"NMRK2","ENSG00000077009"
"ACTL6B","ENSG00000077080"
"TM9SF3","ENSG00000077147"
"NFKB2","ENSG00000077150"
"DNAJC10","ENSG00000077232"
"CAPN6","ENSG00000077274"
"DYNC1I2","ENSG00000077380"
"APBB1IP","ENSG00000077420"
"LRCH4","ENSG00000077454"
"FAM76B","ENSG00000077458"
"SIRT6","ENSG00000077463"
"TYR","ENSG00000077498"
"ACTN2","ENSG00000077522"
"NAALAD2","ENSG00000077616"
"JADE1","ENSG00000077684"
"FGFR1","ENSG00000077782"
"FKBP6","ENSG00000077800"
"ITGA8","ENSG00000077943"
"MAP2","ENSG00000078018"
"PIAS2","ENSG00000078043"
"AMPH","ENSG00000078053"
"ARAF","ENSG00000078061"
"MCCC1","ENSG00000078070"
"FAP","ENSG00000078098"
"TULP3","ENSG00000078246"
"RBFOX1","ENSG00000078328"
"HOXA9","ENSG00000078399"
"MLLT10","ENSG00000078403"
"ZCWPW1","ENSG00000078487"
"ADCYAP1R1","ENSG00000078549"
"PCM1","ENSG00000078674"
"TNRC6C","ENSG00000078687"
"CBFA2T2","ENSG00000078699"
"ITCH","ENSG00000078747"
"MYH7B","ENSG00000078814"
"BPIFB2","ENSG00000078898"
"TP73","ENSG00000078900"
"CLUL1","ENSG00000079101"
"RUNX1T1","ENSG00000079102"
"THOC1","ENSG00000079134"
"OSBPL6","ENSG00000079156"
"LXN","ENSG00000079257"
"TNS1","ENSG00000079308"
"REXO1","ENSG00000079313"
"CDC14A","ENSG00000079335"
"RAPGEF3","ENSG00000079337"
"SENP1","ENSG00000079387"
"CIC","ENSG00000079432"
"LIPE","ENSG00000079435"
"PAFAH1B3","ENSG00000079462"
"AFM","ENSG00000079557"
"KIF22","ENSG00000079616"
"SCGN","ENSG00000079689"
"LRRC16A","ENSG00000079691"
"EPB41L2","ENSG00000079819"
"RIMS1","ENSG00000079841"
"MOXD1","ENSG00000079931"
"RABL2B","ENSG00000079974"
"DCT","ENSG00000080166"
"SLC35C2","ENSG00000080189"
"SCTR","ENSG00000080293"
"RFX3","ENSG00000080298"
"RIF1","ENSG00000080345"
"RAB21","ENSG00000080371"
"SMARCA2","ENSG00000080503"
"MID2","ENSG00000080561"
"PIH1D3","ENSG00000080572"
"COL5A3","ENSG00000080573"
"SRCAP","ENSG00000080603"
"CPB2","ENSG00000080618"
"KCNN2","ENSG00000080709"
"RBL1","ENSG00000080839"
"DLGAP4","ENSG00000080845"
"AFP","ENSG00000081051"
"COL4A4","ENSG00000081052"
"TCF7","ENSG00000081059"
"OSTM1","ENSG00000081087"
"CDH7","ENSG00000081138"
"ARG2","ENSG00000081181"
"MEF2C","ENSG00000081189"
"PTPRC","ENSG00000081237"
"CACNA1S","ENSG00000081248"
"PKP1","ENSG00000081277"
"STK17B","ENSG00000081320"
"ZNF510","ENSG00000081386"
"LRP2","ENSG00000081479"
"JMJD4","ENSG00000081692"
"KIAA0141","ENSG00000081791"
"CADPS2","ENSG00000081803"
"PCDHB4","ENSG00000081818"
"PCDHA6","ENSG00000081842"
"PCDHGA2","ENSG00000081853"
"PHLPP1","ENSG00000081913"
"IL12RB2","ENSG00000081985"
"FYB","ENSG00000082074"
"PGR","ENSG00000082175"
"FAM135A","ENSG00000082269"
"COL19A1","ENSG00000082293"
"OPRK1","ENSG00000082556"
"NFE2L1","ENSG00000082641"
"GSK3B","ENSG00000082701"
"XPO1","ENSG00000082898"
"C4orf6","ENSG00000082929"
"PALB2","ENSG00000083093"
"DOPEY1","ENSG00000083097"
"KAT6A","ENSG00000083168"
"ZCCHC6","ENSG00000083223"
"ITGAE","ENSG00000083457"
"DIS3","ENSG00000083520"
"PDS5B","ENSG00000083642"
"CYLD","ENSG00000083799"
"ZNF671","ENSG00000083814"
"ZNF446","ENSG00000083838"
"ZNF264","ENSG00000083844"
"FAT1","ENSG00000083857"
"SMAP2","ENSG00000084070"
"SSH1","ENSG00000084112"
"KIAA1467","ENSG00000084444"
"SLCO1A2","ENSG00000084453"
"EIF3I","ENSG00000084623"
"TXLNA","ENSG00000084652"
"APOB","ENSG00000084674"
"AGBL5","ENSG00000084693"
"KIF3C","ENSG00000084731"
"MAPRE3","ENSG00000084764"
"CAD","ENSG00000084774"
"BCORL1","ENSG00000085185"
"ATRX","ENSG00000085224"
"OVGP1","ENSG00000085465"
"PILRA","ENSG00000085514"
"ABCB1","ENSG00000085563"
"CTTN","ENSG00000085733"
"DDHD2","ENSG00000085788"
"ORC1","ENSG00000085840"
"CHERP","ENSG00000085872"
"USP40","ENSG00000085982"
"POMGNT1","ENSG00000085998"
"B4GALT1","ENSG00000086062"
"AQP6","ENSG00000086159"
"IPO11","ENSG00000086200"
"FOLH1","ENSG00000086205"
"NME8","ENSG00000086288"
"EPDR1","ENSG00000086289"
"FAT2","ENSG00000086570"
"RBM22","ENSG00000086589"
"ZFAND6","ENSG00000086666"
"PPEF1","ENSG00000086717"
"LAT2","ENSG00000086730"
"HUWE1","ENSG00000086758"
"MYBPC2","ENSG00000086967"
"TRIP6","ENSG00000087077"
"ACHE","ENSG00000087085"
"SRRT","ENSG00000087087"
"PIGS","ENSG00000087111"
"ADAMTS2","ENSG00000087116"
"TMPRSS11E","ENSG00000087128"
"UIMC1","ENSG00000087206"
"MMP2","ENSG00000087245"
"TXNDC16","ENSG00000087301"
"NID2","ENSG00000087303"
"GNAS","ENSG00000087460"
"PTHLH","ENSG00000087494"
"PHACTR3","ENSG00000087495"
"CASS4","ENSG00000087589"
"RFX2","ENSG00000087903"
"SLC6A14","ENSG00000087916"
"SULT2B1","ENSG00000088002"
"ALG6","ENSG00000088035"
"CNOT3","ENSG00000088038"
"GP6","ENSG00000088053"
"PTPN4","ENSG00000088179"
"KHSRP","ENSG00000088247"
"EDEM2","ENSG00000088298"
"DNMT3B","ENSG00000088305"
"TPX2","ENSG00000088325"
"PDRG1","ENSG00000088356"
"SLC15A1","ENSG00000088386"
"DOCK9","ENSG00000088387"
"DOCK3","ENSG00000088538"
"TMEM40","ENSG00000088726"
"ARHGAP28","ENSG00000088756"
"CRLS1","ENSG00000088766"
"SIGLEC1","ENSG00000088827"
"NSFL1C","ENSG00000088833"
"SLC4A11","ENSG00000088836"
"ZNF343","ENSG00000088876"
"CPXM1","ENSG00000088882"
"F11","ENSG00000088926"
"SNX5","ENSG00000089006"
"RBBP9","ENSG00000089050"
"KDM2B","ENSG00000089094"
"C20orf26","ENSG00000089101"
"GCN1L1","ENSG00000089154"
"RPLP0","ENSG00000089157"
"PXN","ENSG00000089159"
"RPH3A","ENSG00000089169"
"CHGB","ENSG00000089199"
"TBX5","ENSG00000089225"
"NOS1","ENSG00000089250"
"GRAMD1A","ENSG00000089351"
"HEPH","ENSG00000089472"
"GANAB","ENSG00000089597"
"GMIP","ENSG00000089639"
"BIRC5","ENSG00000089685"
"MLF2","ENSG00000089693"
"NECAP1","ENSG00000089818"
"ANKRD24","ENSG00000089847"
"DHX32","ENSG00000089876"
"LTBP4","ENSG00000090006"
"SLC9A1","ENSG00000090020"
"NUDC","ENSG00000090273"
"STRN4","ENSG00000090372"
"SI","ENSG00000090402"
"CHRD","ENSG00000090539"
"RAB11FIP3","ENSG00000090565"
"GNPTG","ENSG00000090581"
"ZNF268","ENSG00000090612"
"GOLGA3","ENSG00000090615"
"MCOLN1","ENSG00000090674"
"GLG1","ENSG00000090863"
"TNRC6A","ENSG00000090905"
"FCGBP","ENSG00000090920"
"PLEKHG2","ENSG00000090924"
"DLL3","ENSG00000090932"
"NAT14","ENSG00000090971"
"PITPNM2","ENSG00000090975"
"EXOC1","ENSG00000090989"
"RBM27","ENSG00000091009"
"POU4F3","ENSG00000091010"
"OSBPL8","ENSG00000091039"
"LAMB1","ENSG00000091136"
"IL5RA","ENSG00000091181"
"ABCC6","ENSG00000091262"
"ITGA6","ENSG00000091409"
"RAPGEF4","ENSG00000091428"
"FH","ENSG00000091483"
"SEL1L3","ENSG00000091490"
"MYO15A","ENSG00000091536"
"PITPNM3","ENSG00000091622"
"SPAG7","ENSG00000091640"
"ZFHX4","ENSG00000091656"
"SLC17A6","ENSG00000091664"
"CPA1","ENSG00000091704"
"ESR1","ENSG00000091831"
"RGS17","ENSG00000091844"
"OSGEP","ENSG00000092094"
"SLC22A17","ENSG00000092096"
"RNF31","ENSG00000092098"
"G2E3","ENSG00000092140"
"HECTD1","ENSG00000092148"
"RPGRIP1","ENSG00000092200"
"TINF2","ENSG00000092330"
"SEMA6A","ENSG00000092421"
"TBX15","ENSG00000092607"
"COL9A3","ENSG00000092758"
"EZR","ENSG00000092820"
"TEKT2","ENSG00000092850"
"COMT","ENSG00000093010"
"CECR1","ENSG00000093072"
"XYLB","ENSG00000093217"
"OR1I1","ENSG00000094661"
"CDC23","ENSG00000094880"
"MAP3K1","ENSG00000095015"
"DHPS","ENSG00000095059"
"HOOK2","ENSG00000095066"
"ARCN1","ENSG00000095139"
"NUP188","ENSG00000095319"
"SH2D3C","ENSG00000095370"
"NANS","ENSG00000095380"
"DFNB31","ENSG00000095397"
"PDE6C","ENSG00000095464"
"CRTAC1","ENSG00000095713"
"IL11","ENSG00000095752"
"CREM","ENSG00000095794"
"NUBP2","ENSG00000095906"
"HIVEP1","ENSG00000095951"
"HSP90AB1","ENSG00000096384"
"CDC5L","ENSG00000096401"
"ITPR3","ENSG00000096433"
"DSP","ENSG00000096696"
"SIRT1","ENSG00000096717"
"PCSK5","ENSG00000099139"
"ABLIM1","ENSG00000099204"
"TSPAN15","ENSG00000099282"
"MAST3","ENSG00000099308"
"MYO9B","ENSG00000099331"
"PSMD8","ENSG00000099341"
"FBXL19","ENSG00000099364"
"SETD1A","ENSG00000099381"
"BCL7C","ENSG00000099385"
"CIRBP","ENSG00000099622"
"IGFALS","ENSG00000099769"
"MISP","ENSG00000099812"
"POLR2E","ENSG00000099817"
"POLRMT","ENSG00000099821"
"HCN2","ENSG00000099822"
"RASSF7","ENSG00000099849"
"PALM","ENSG00000099864"
"MADCAM1","ENSG00000099866"
"ARVCF","ENSG00000099889"
"TRMT2A","ENSG00000099899"
"RANBP1","ENSG00000099901"
"ZDHHC8","ENSG00000099904"
"KLHL22","ENSG00000099910"
"LZTR1","ENSG00000099949"
"CECR2","ENSG00000099954"
"SMARCB1","ENSG00000099956"
"SUSD2","ENSG00000099994"
"GGT5","ENSG00000099998"
"SEC14L2","ENSG00000100003"
"SEC14L3","ENSG00000100012"
"SPECC1L","ENSG00000100014"
"PPM1F","ENSG00000100034"
"CARD10","ENSG00000100065"
"LGALS2","ENSG00000100079"
"SEZ6L","ENSG00000100095"
"PIK3IP1","ENSG00000100100"
"PATZ1","ENSG00000100105"
"GGTLC2","ENSG00000100121"
"EIF3L","ENSG00000100129"
"NHP2L1","ENSG00000100138"
"MICALL1","ENSG00000100139"
